tipo_logradouro,nome_logradouro,numero,bairro,cep,lat,lng
Rua,Teixeira Campos,506,Santissimo,23098062,-22.870411,-43.509182
Rua,Teixeira Campos,250,Santissimo,23098062,-22.871002,-43.509359
Rua,Teixeira Campos,526,Santissimo,23098062,-22.870586,-43.509235
Rua,Teixeira Campos,1316,Santissimo,23098062,-22.871099,-43.509445
Rua,Teixeira Campos,496,Santissimo,23098062,-22.870490,-43.509295
Rua,Arua,80,Engenheiro Leal,21370080,-22.873072,-43.329280
Rua,Arua,68,Engenheiro Leal,21370080,-22.873256,-43.329297
Rua,Arua,121,Engenheiro Leal,21370080,-22.873067,-43.329385
Rua,Arua,44,Engenheiro Leal,21370080,-22.873164,-43.329090
Rua,Arua,61,Engenheiro Leal,21370080,-22.873199,-43.329111
Rua,Arua,18,Engenheiro Leal,21370080,-22.874083,-43.329225
Rua,Arua,47,Engenheiro Leal,21370080,-22.873288,-43.329289
Rua,Arua,13,Engenheiro Leal,21370080,-22.873316,-43.329164
Rua,Arua,21,Engenheiro Leal,21370080,-22.873466,-43.329177
Rua,Arua,55,Engenheiro Leal,21370080,-22.873162,-43.329187
Rua,Arua,71,Engenheiro Leal,21370080,-22.874395,-43.325306
Rua,Arua,86,Engenheiro Leal,21370080,-22.873157,-43.329112
Rua,Arua,87,Engenheiro Leal,21370080,-22.873162,-43.329144
Rua,Mario Piragibe,30,Lins de Vasconcelos,20720320,-22.909757,-43.284495
Rua,Mario Piragibe,20,Lins de Vasconcelos,20720320,-22.909981,-43.284209
Rua,Arua,113,Engenheiro Leal,21370080,-22.873252,-43.329323
Rua,Arua,105,Engenheiro Leal,21370080,-22.873995,-43.329253
Rua,Arua,106,Engenheiro Leal,21370080,-22.873094,-43.329394
Rua,Arua,110,Engenheiro Leal,21370080,-22.873148,-43.329450
Rua,Arua,116,Engenheiro Leal,21370080,-22.873246,-43.329318
Rua,Arua,63,Engenheiro Leal,21370080,-22.873225,-43.329202
